redis_member_processing_analysis_reordered
member_id,total_time_ms,wait_for_lock_attempt_ms,lock_wait_time_ms,processing_time_ms,cleanup_time_ms,start_time,end_time
6,35.0,8.0,11.0,6.0,10.0,2025-05-26 09:34:54.911000+00:00,2025-05-26 09:34:54.946000+00:00
5,71.0,29.0,21.0,6.0,15.0,2025-05-26 09:34:54.898000+00:00,2025-05-26 09:34:54.969000+00:00
48,73.0,3.0,53.0,6.0,11.0,2025-05-26 09:34:54.915000+00:00,2025-05-26 09:34:54.988000+00:00
22,101.0,9.0,76.0,7.0,9.0,2025-05-26 09:34:54.907000+00:00,2025-05-26 09:34:55.008000+00:00
8,107.0,23.0,68.0,8.0,8.0,2025-05-26 09:34:54.920000+00:00,2025-05-26 09:34:55.027000+00:00
25,126.0,26.0,85.0,6.0,9.0,2025-05-26 09:34:54.918000+00:00,2025-05-26 09:34:55.044000+00:00
2,150.0,35.0,101.0,7.0,7.0,2025-05-26 09:34:54.909000+00:00,2025-05-26 09:34:55.059000+00:00
29,154.0,139.0,2.0,6.0,7.0,2025-05-26 09:34:54.920000+00:00,2025-05-26 09:34:55.074000+00:00
23,188.0,44.0,130.0,5.0,9.0,2025-05-26 09:34:54.902000+00:00,2025-05-26 09:34:55.090000+00:00
41,185.0,30.0,140.0,6.0,9.0,2025-05-26 09:34:54.922000+00:00,2025-05-26 09:34:55.107000+00:00
13,210.0,61.0,135.0,6.0,8.0,2025-05-26 09:34:54.912000+00:00,2025-05-26 09:34:55.122000+00:00
38,215.0,68.0,131.0,6.0,10.0,2025-05-26 09:34:54.924000+00:00,2025-05-26 09:34:55.139000+00:00
47,242.0,99.0,128.0,6.0,9.0,2025-05-26 09:34:54.913000+00:00,2025-05-26 09:34:55.155000+00:00
12,257.0,117.0,127.0,6.0,7.0,2025-05-26 09:34:54.913000+00:00,2025-05-26 09:34:55.170000+00:00
4,259.0,123.0,123.0,5.0,8.0,2025-05-26 09:34:54.926000+00:00,2025-05-26 09:34:55.185000+00:00
45,296.0,35.0,246.0,5.0,10.0,2025-05-26 09:34:54.906000+00:00,2025-05-26 09:34:55.202000+00:00
39,292.0,136.0,140.0,6.0,10.0,2025-05-26 09:34:54.927000+00:00,2025-05-26 09:34:55.219000+00:00
26,341.0,178.0,142.0,11.0,10.0,2025-05-26 09:34:54.901000+00:00,2025-05-26 09:34:55.242000+00:00
9,357.0,193.0,150.0,6.0,8.0,2025-05-26 09:34:54.901000+00:00,2025-05-26 09:34:55.258000+00:00
