xlock_member_processing_analysis_reordered
member_id,total_time_ms,wait_for_lock_attempt_ms,lock_wait_time_ms,processing_time_ms,start_time,end_time
2,44.0,5.0,21.0,18.0,2025-05-26 09:40:15.789000+00:00,2025-05-26 09:40:15.833000+00:00
7,47.0,16.0,27.0,4.0,2025-05-26 09:40:15.799000+00:00,2025-05-26 09:40:15.846000+00:00
1,67.0,18.0,39.0,10.0,2025-05-26 09:40:15.797000+00:00,2025-05-26 09:40:15.864000+00:00
21,77.0,25.0,48.0,4.0,2025-05-26 09:40:15.800000+00:00,2025-05-26 09:40:15.877000+00:00
4,100.0,36.0,60.0,4.0,2025-05-26 09:40:15.790000+00:00,2025-05-26 09:40:15.890000+00:00
3,107.0,31.0,73.0,3.0,2025-05-26 09:40:15.796000+00:00,2025-05-26 09:40:15.903000+00:00
11,121.0,31.0,86.0,4.0,2025-05-26 09:40:15.796000+00:00,2025-05-26 09:40:15.917000+00:00
8,138.0,34.0,98.0,6.0,2025-05-26 09:40:15.794000+00:00,2025-05-26 09:40:15.932000+00:00
31,156.0,40.0,112.0,4.0,2025-05-26 09:40:15.789000+00:00,2025-05-26 09:40:15.945000+00:00
24,169.0,40.0,125.0,4.0,2025-05-26 09:40:15.789000+00:00,2025-05-26 09:40:15.958000+00:00
18,171.0,45.0,121.0,5.0,2025-05-26 09:40:15.802000+00:00,2025-05-26 09:40:15.973000+00:00
23,182.0,59.0,120.0,3.0,2025-05-26 09:40:15.803000+00:00,2025-05-26 09:40:15.985000+00:00
16,192.0,74.0,115.0,3.0,2025-05-26 09:40:15.804000+00:00,2025-05-26 09:40:15.996000+00:00
5,203.0,87.0,113.0,3.0,2025-05-26 09:40:15.804000+00:00,2025-05-26 09:40:16.007000+00:00
13,214.0,98.0,113.0,3.0,2025-05-26 09:40:15.805000+00:00,2025-05-26 09:40:16.019000+00:00
6,239.0,118.0,115.0,6.0,2025-05-26 09:40:15.799000+00:00,2025-05-26 09:40:16.038000+00:00
19,249.0,127.0,118.0,4.0,2025-05-26 09:40:15.803000+00:00,2025-05-26 09:40:16.052000+00:00
50,259.0,141.0,115.0,3.0,2025-05-26 09:40:15.805000+00:00,2025-05-26 09:40:16.064000+00:00
22,271.0,155.0,111.0,5.0,2025-05-26 09:40:15.807000+00:00,2025-05-26 09:40:16.078000+00:00
17,284.0,166.0,113.0,5.0,2025-05-26 09:40:15.807000+00:00,2025-05-26 09:40:16.091000+00:00
12,299.0,178.0,118.0,3.0,2025-05-26 09:40:15.807000+00:00,2025-05-26 09:40:16.106000+00:00
27,311.0,189.0,118.0,4.0,2025-05-26 09:40:15.807000+00:00,2025-05-26 09:40:16.118000+00:00
39,321.0,200.0,117.0,4.0,2025-05-26 09:40:15.808000+00:00,2025-05-26 09:40:16.129000+00:00
42,331.0,211.0,117.0,3.0,2025-05-26 09:40:15.809000+00:00,2025-05-26 09:40:16.140000+00:00
48,345.0,227.0,112.0,6.0,2025-05-26 09:40:15.810000+00:00,2025-05-26 09:40:16.155000+00:00
41,356.0,241.0,112.0,3.0,2025-05-26 09:40:15.811000+00:00,2025-05-26 09:40:16.167000+00:00
40,368.0,253.0,111.0,4.0,2025-05-26 09:40:15.812000+00:00,2025-05-26 09:40:16.180000+00:00
30,383.0,265.0,112.0,6.0,2025-05-26 09:40:15.812000+00:00,2025-05-26 09:40:16.195000+00:00
43,396.0,283.0,110.0,3.0,2025-05-26 09:40:15.813000+00:00,2025-05-26 09:40:16.209000+00:00
28,409.0,293.0,113.0,3.0,2025-05-26 09:40:15.814000+00:00,2025-05-26 09:40:16.223000+00:00
14,424.0,305.0,114.0,5.0,2025-05-26 09:40:15.813000+00:00,2025-05-26 09:40:16.237000+00:00
46,435.0,314.0,117.0,4.0,2025-05-26 09:40:15.815000+00:00,2025-05-26 09:40:16.250000+00:00
47,443.0,320.0,120.0,3.0,2025-05-26 09:40:15.820000+00:00,2025-05-26 09:40:16.263000+00:00
38,455.0,335.0,116.0,4.0,2025-05-26 09:40:15.821000+00:00,2025-05-26 09:40:16.276000+00:00
36,466.0,347.0,116.0,3.0,2025-05-26 09:40:15.822000+00:00,2025-05-26 09:40:16.288000+00:00
34,486.0,366.0,116.0,4.0,2025-05-26 09:40:15.815000+00:00,2025-05-26 09:40:16.301000+00:00
37,497.0,380.0,113.0,4.0,2025-05-26 09:40:15.816000+00:00,2025-05-26 09:40:16.313000+00:00
29,516.0,397.0,110.0,9.0,2025-05-26 09:40:15.817000+00:00,2025-05-26 09:40:16.333000+00:00
35,527.0,409.0,114.0,4.0,2025-05-26 09:40:15.818000+00:00,2025-05-26 09:40:16.345000+00:00
15,538.0,420.0,115.0,3.0,2025-05-26 09:40:15.818000+00:00,2025-05-26 09:40:16.356000+00:00
9,551.0,434.0,112.0,5.0,2025-05-26 09:40:15.819000+00:00,2025-05-26 09:40:16.370000+00:00
25,561.0,447.0,110.0,4.0,2025-05-26 09:40:15.820000+00:00,2025-05-26 09:40:16.381000+00:00
26,572.0,458.0,111.0,3.0,2025-05-26 09:40:15.820000+00:00,2025-05-26 09:40:16.392000+00:00
49,583.0,469.0,110.0,4.0,2025-05-26 09:40:15.821000+00:00,2025-05-26 09:40:16.404000+00:00
20,619.0,501.0,113.0,5.0,2025-05-26 09:40:15.801000+00:00,2025-05-26 09:40:16.420000+00:00
10,597.0,477.0,116.0,4.0,2025-05-26 09:40:15.836000+00:00,2025-05-26 09:40:16.433000+00:00
44,607.0,493.0,111.0,3.0,2025-05-26 09:40:15.838000+00:00,2025-05-26 09:40:16.445000+00:00
45,608.0,501.0,104.0,3.0,2025-05-26 09:40:15.848000+00:00,2025-05-26 09:40:16.456000+00:00
32,613.0,504.0,105.0,4.0,2025-05-26 09:40:15.856000+00:00,2025-05-26 09:40:16.469000+00:00
33,627.0,513.0,110.0,4.0,2025-05-26 09:40:15.858000+00:00,2025-05-26 09:40:16.485000+00:00
